zcta,name,city,county,state,median_hh_income,median_age,total_households,total_pop,male_pop,pop_25plus,bachelors,masters,professional,doctorate
87021,ZCTA5 87021,Milan,Cibola,NM,37458,44.0,967,2793,1630,2117,158,123,0,0
87022,ZCTA5 87022,Isleta,Bernalillo,NM,61000,44.5,230,527,231,419,42,34,0,0
87023,ZCTA5 87023,Jarales,Valencia,NM,39352,62.3,200,451,200,375,39,0,0,0
87024,ZCTA5 87024,Jemez Pueblo,Sandoval,NM,60083,30.8,615,2538,1146,1463,88,85,0,0
87025,ZCTA5 87025,Jemez Springs,Sandoval,NM,141139,52.9,707,1472,698,1257,447,165,8,113
87026,ZCTA5 87026,Canoncito,Bernalillo,NM,40202,35.9,981,3817,1757,2409,115,15,8,0
87027,ZCTA5 87027,La Jara,Sandoval,NM,-666666666,32.7,186,422,269,292,77,18,0,0
87028,ZCTA5 87028,Lajoya,Socorro,NM,31534,43.0,51,155,133,140,0,0,0,0
87029,ZCTA5 87029,Lindrith,Rio Arriba,NM,58750,61.6,176,367,137,307,27,0,0,16
87031,ZCTA5 87031,Los Lunas,Valencia,NM,58580,35.9,14967,46590,23544,30677,3083,2413,503,248
87032,ZCTA5 87032,Mc Intosh,Torrance,NM,-666666666,-666666666.0,115,115,0,115,0,0,0,0
87034,ZCTA5 87034,Pueblo Of Acoma,Cibola,NM,52667,39.7,690,2982,1406,2020,126,66,17,7
87035,ZCTA5 87035,Moriarty,Torrance,NM,49647,35.6,2323,7331,3820,4628,177,77,8,30
87036,ZCTA5 87036,Mountainair,Torrance,NM,53750,55.8,622,1663,915,1187,199,115,13,11
87037,ZCTA5 87037,Nageezi,San Juan,NM,16250,39.3,442,1651,833,1260,12,0,0,0
87038,ZCTA5 87038,New Laguna,Cibola,NM,71406,30.9,68,359,208,263,0,0,0,0
87040,ZCTA5 87040,Paguate,Cibola,NM,-666666666,34.7,108,481,223,353,0,0,0,0
87041,ZCTA5 87041,Cochiti Pueblo,Sandoval,NM,60703,40.7,357,867,516,587,47,32,1,0
87042,ZCTA5 87042,Peralta,Valencia,NM,57219,38.9,1401,3447,1810,2243,328,236,3,27
87043,ZCTA5 87043,Placitas,Sandoval,NM,105216,62.8,2015,4066,2138,3764,1034,890,181,157
87044,ZCTA5 87044,Ponderosa,Sandoval,NM,55625,61.8,104,160,90,160,30,6,0,0
87045,ZCTA5 87045,Prewitt,Mckinley,NM,26875,28.6,584,2238,1244,1248,19,8,0,0
87046,ZCTA5 87046,Regina,Sandoval,NM,-666666666,42.1,85,217,115,172,0,0,0,0
87047,ZCTA5 87047,Sandia Park,Bernalillo,NM,109525,48.4,2056,4965,2577,3635,741,769,79,253
87048,ZCTA5 87048,Corrales,Sandoval,NM,94479,56.8,3693,8839,4152,7211,1861,1044,454,267
87049,ZCTA5 87049,San Fidel,Cibola,NM,-666666666,51.5,71,304,173,190,3,0,0,0
87051,ZCTA5 87051,San Rafael,Cibola,NM,64578,25.4,354,2103,853,1131,0,0,0,0
87052,ZCTA5 87052,Santo Domingo Pu,Sandoval,NM,44868,30.3,588,2841,1281,1625,78,9,0,0
87053,ZCTA5 87053,Zia Pueblo,Sandoval,NM,48125,31.6,364,1283,573,813,42,1,0,0
87056,ZCTA5 87056,Stanley,Santa Fe,NM,70699,63.4,463,1005,437,792,118,79,24,29
87059,ZCTA5 87059,Tijeras,Bernalillo,NM,90082,50.5,4093,10020,5204,7547,1821,1033,186,282
87060,ZCTA5 87060,Tome,Valencia,NM,-666666666,-666666666.0,0,0,0,0,0,0,0,0
87061,ZCTA5 87061,Torreon,Torrance,NM,38060,35.5,105,232,103,204,0,0,0,0
87062,ZCTA5 87062,Veguita,Socorro,NM,36646,49.6,498,1374,573,938,51,71,0,13
87063,ZCTA5 87063,Willard,Torrance,NM,-666666666,28.7,126,389,248,243,26,42,6,0
87064,ZCTA5 87064,Youngsville,Rio Arriba,NM,-666666666,54.9,67,109,90,93,0,0,0,0
87068,ZCTA5 87068,Bosque Farms,Valencia,NM,67263,44.1,2025,5450,2751,3916,660,282,5,39
87070,ZCTA5 87070,Clines Corners,Torrance,NM,-666666666,-666666666.0,10,10,10,10,0,0,0,0
87072,ZCTA5 87072,Cochiti Pueblo,Sandoval,NM,56250,32.1,170,620,321,412,39,11,0,2
87083,ZCTA5 87083,Cochiti Lake,Sandoval,NM,57813,63.5,278,466,177,390,92,88,7,16
